,Green,Blue,Purple
峰所在索引,75,56,54
峰位置(nm),697.0,621.0,613.0
峰高度,508.97,65.48,222.57
辛普森面积,106380.06,12933.02,45580.45
梯形法面积,106379.51,12932.97,45580.21
振幅a,667.98,130.35,389.18
峰值波长b(nm),509.03,470.30,465.82
半高宽σ(nm),99.38,117.02,119.12
平均误差, 8.641, 1.674, 4.248
